formation_complement;Expérience professionnelle;Heure_travail_semaine;Taille_équipe;Taille_équipe_la_plus_ grande;Nombre_réunions_hebdo;Montant_annuel_budget_géré;Nombre_jours_formation ;Nombre_projets ;Universite_freq_encoded;Specialisation_freq_encoded;annee_experience_freq_encoded;type_emploi_freq_encoded;secteur_activite_freq_encoded;competence_professionnelle_freq_encoded;formation_complement_freq_encoded;salaire_freq_encoded;source_emploi_freq_encoded
1;9;50;60;1200;5;0;14;3;0.004672897;0.014018692;0.593457944;0.878504673;0.214953271;0.070093458;0.602803738;0.313084112;0.226415094
1;20;45;60;250;4;100000000;10;5;0.004672897;0.004672897;0.593457944;0.878504673;0.214953271;0.359813084;0.602803738;0.434579439;0.377358491
0;26;40;2;5;1;0;2;0;0.140186916;0.08411215;0.593457944;0.037383178;0.009345794;0.023364486;0.397196262;0.252336449;0.235849057
1;2;37;10;50;1;0;0;2;0.140186916;0.074766355;0.593457944;0.878504673;0.004672897;0.037383178;0.602803738;0.252336449;0.004716981
1;5;39;2;3;2;1000000000;3;15;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.042056075;0.602803738;0.313084112;0.235849057
0;4;70;160;60;6;0;0;10;0.004672897;0.004672897;0.177570093;0.878504673;0.004672897;0.070093458;0.397196262;0.434579439;0.377358491
1;0;30;22;22;1;50000000;96;1;0.004672897;0.088785047;0.177570093;0.878504673;0.004672897;0.018691589;0.602803738;0.252336449;0.014150943
1;19;40;1700;2000;2;3,00E+11;40;10;0.355140187;0.205607477;0.593457944;0.878504673;0.014018692;0.359813084;0.602803738;0.434579439;0.235849057
0;18;40;18;18;1;0;2;3;0.004672897;0.088785047;0.593457944;0.878504673;0.023364486;0.056074766;0.397196262;0.434579439;0.080188679
1;20;45;7;12;2;13000000000;5;3;0.355140187;0.08411215;0.593457944;0.878504673;0.028037383;0.004672897;0.602803738;0.434579439;0.004716981
1;6;50;13;25;2;300000000;0;4;0.056074766;0.08411215;0.593457944;0.878504673;0.214953271;0.056074766;0.602803738;0.434579439;0.377358491
1;10;40;8;8;1;0;2;5;0.004672897;0.205607477;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.313084112;0.080188679
0;20;30;5;20;1;70000000;15;3;0.004672897;0.088785047;0.593457944;0.042056075;0.004672897;0.004672897;0.397196262;0.434579439;0.377358491
0;15;40;8;14;0;300000000;2;3;0.004672897;0.205607477;0.593457944;0.878504673;0.018691589;0.359813084;0.397196262;0.313084112;0.226415094
1;1;8;2;2;3;100000000;110;3;0.140186916;0.056074766;0.196261682;0.878504673;0.088785047;0.359813084;0.602803738;0.313084112;0.226415094
1;4;45;1;8;0;0;7;4;0.140186916;0.014018692;0.593457944;0.878504673;0.009345794;0.359813084;0.602803738;0.252336449;0.235849057
1;22;28;145;150;1;0;38;3;0.140186916;0.056074766;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.434579439;0.080188679
1;2;40;1;1;1;0;0;3;0.355140187;0.056074766;0.196261682;0.878504673;0.214953271;0.359813084;0.602803738;0.313084112;0.377358491
1;15;60;20;20;3;3000000000;5;5;0.004672897;0.046728972;0.593457944;0.878504673;0.009345794;0.070093458;0.602803738;0.434579439;0.377358491
0;2;40;2;3;15;300000000;15;5;0.355140187;0.074766355;0.196261682;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.235849057
1;20;50;50;100;2;4000000000;10;3;0.004672897;0.056074766;0.593457944;0.878504673;0.014018692;0.359813084;0.602803738;0.313084112;0.235849057
1;21;44;30;200;1;2000000000;0;4;0.140186916;0.205607477;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.252336449;0.226415094
1;17;50;30;50;3;3000000000;20;7;0.023364486;0.205607477;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.235849057
1;15;40;3;12;1;20000000000;15;10;0.355140187;0.088785047;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.313084112;0.235849057
1;5;48;4;10;3;15000000;0;2;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.434579439;0.004716981
0;2;40;0;0;6;2000000000;2;5;0.355140187;0.074766355;0.196261682;0.878504673;0.004672897;0.004672897;0.397196262;0.313084112;0.377358491
0;3;40;4;4;1;0;10;10;0.355140187;0.08411215;0.177570093;0.878504673;0.004672897;0.070093458;0.397196262;0.313084112;0.235849057
1;2;30;4;6;2;10000000;250;5;0.355140187;0.08411215;0.196261682;0.042056075;0.004672897;0.359813084;0.602803738;0.313084112;0.377358491
1;5;40;14;19;2;309000000;12;13;0.004672897;0.205607477;0.177570093;0.878504673;0.004672897;0.359813084;0.602803738;0.313084112;0.226415094
0;11;40;25;25;1;0;10;0;0.140186916;0.08411215;0.593457944;0.878504673;0.004672897;0.014018692;0.397196262;0.434579439;0.014150943
1;0;40;20;30;1;500000000;30;5;0.004672897;0.08411215;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.434579439;0.004716981
1;10;40;6;12;2;160000000;5;3;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.226415094
0;3.75;40;0;5;2;1000000;15;3;0.046728972;0.023364486;0.177570093;0.042056075;0.214953271;0.359813084;0.397196262;0.252336449;0.235849057
1;22;30;3;10;1;0;10;0;0.355140187;0.088785047;0.593457944;0.878504673;0.004672897;0.009345794;0.602803738;0.313084112;0.226415094
1;20;40;15;50;1;0;0;5;0.355140187;0.046728972;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.226415094
1;15;45;20;25;2;500000000;1;10;0.004672897;0.004672897;0.593457944;0.018691589;0.004672897;0.014018692;0.602803738;0.434579439;
1;15;40;0;10;0;0;2;0;0.355140187;0.074766355;0.593457944;0.878504673;0.023364486;0.042056075;0.602803738;0.252336449;0.235849057
0;22;40;10;20;3;0;10;5;0.355140187;0.056074766;0.593457944;0.878504673;0.214953271;0.014018692;0.397196262;0.434579439;0.226415094
