formation_complement;Expérience professionnelle;Heure_travail_semaine;Taille_équipe;Taille_équipe_la_plus_ grande;Nombre_réunions_hebdo;Montant_annuel_budget_géré;Nombre_jours_formation ;Nombre_projets ;Universite_freq_encoded;Specialisation_freq_encoded;annee_experience_freq_encoded;type_emploi_freq_encoded;secteur_activite_freq_encoded;competence_professionnelle_freq_encoded;formation_complement_freq_encoded;salaire_freq_encoded;source_emploi_freq_encoded
0;2;60;15;15;2;25000000;0;3;0.023364486;0.023364486;0.196261682;0.042056075;0.009345794;0.009345794;0.397196262;0.313084112;0.226415094
0;5;45;15;25;1;5000000;0;2;0.355140187;0.074766355;0.593457944;0.878504673;0.03271028;0.359813084;0.397196262;0.434579439;0.226415094
1;30;8;120;120;2;150000000;15;1;0.046728972;0.088785047;0.593457944;0.878504673;0.014018692;0.03271028;0.602803738;0.434579439;0.226415094
0;12;40;20;20;0;0;7;10;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.359813084;0.397196262;0.434579439;0.226415094
1;8;45;44;44;2;50000000;10;5;0.009345794;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.313084112;0.226415094
0;8;35;1;1;1;0;1;2;0.004672897;0.08411215;0.196261682;0.878504673;0.014018692;0.037383178;0.397196262;0.434579439;0.377358491
0;3;40;1;5;2;50000000;8;3;0.056074766;0.004672897;0.177570093;0.878504673;0.03271028;0.359813084;0.397196262;0.252336449;0.235849057
1;30;46;5;41;1;15000000000;0;2;0.004672897;0.046728972;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.434579439;0.235849057
1;10;45;4;61;1;0;0;0;0.140186916;0.074766355;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.313084112;0.080188679
1;24;40;2;5;2;0;7;4;0.046728972;0.088785047;0.593457944;0.878504673;0.023364486;0.004672897;0.602803738;0.313084112;0.226415094
1;22;40;2;5;1;10000000;10;3;0.046728972;0.023364486;0.593457944;0.878504673;0.214953271;0.018691589;0.602803738;0.313084112;0.226415094
0;8;40;0;12;1;12000000000;5;4;0.004672897;0.074766355;0.593457944;0.878504673;0.214953271;0.042056075;0.397196262;0.252336449;0.377358491
1;9;45;6;6;0;20000000;3;0;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.014018692;0.602803738;0.313084112;0.377358491
0;9;40;50;70;5;5000000000;10;4;0.004672897;0.205607477;0.593457944;0.878504673;0.004672897;0.004672897;0.397196262;0.313084112;0.377358491
1;2;28;4;4;2;20000000;10;2;0.355140187;0.074766355;0.196261682;0.037383178;0.03271028;0.03271028;0.602803738;0.252336449;0.235849057
1;2;40;40;60;2;600000000;12;3;0.004672897;0.004672897;0.177570093;0.878504673;0.004672897;0.009345794;0.602803738;0.434579439;0.377358491
0;10;45;15;15;5;15000000;0;5;0.355140187;0.08411215;0.593457944;0.878504673;0.028037383;0.014018692;0.397196262;0.313084112;0.226415094
0;3;40;4;10;3;10000000;5;5;0.355140187;0.046728972;0.177570093;0.878504673;0.004672897;0.03271028;0.397196262;0.434579439;0.377358491
0;2;50;3;4;2;0;30;1;0.355140187;0.056074766;0.196261682;0.878504673;0.214953271;0.014018692;0.397196262;0.252336449;0.226415094
1;15;33;2400;2500;1;0;2;0;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.434579439;0.014150943
0;3;100;5;5;2;50000000;7;4;0.355140187;0.023364486;0.177570093;0.018691589;0.004672897;0.009345794;0.397196262;0.313084112;0.235849057
1;2;40;12;12;1;25000000;4;2;0.355140187;0.074766355;0.593457944;0.004672897;0.004672897;0.004672897;0.602803738;0.313084112;0.226415094
1;3;50;11;11;2;40000000;7;1;0.004672897;0.08411215;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.313084112;0.226415094
1;4;40;3;6;1;24000000;60;2;0.355140187;0.205607477;0.177570093;0.878504673;0.214953271;0.056074766;0.602803738;0.313084112;0.235849057
1;2;30;24;24;7;0;7;3;0.004672897;0.088785047;0.177570093;0.004672897;0.009345794;0.03271028;0.602803738;0.313084112;0.235849057
0;7;55;4;6;1;50000000;20;2;0.355140187;0.088785047;0.177570093;0.878504673;0.03271028;0.014018692;0.397196262;0.313084112;0.235849057
0;2;20;2;4;2;200000;30;2;0.355140187;0.088785047;0.196261682;0.042056075;0.004672897;0.004672897;0.397196262;0.252336449;0.226415094
1;10;48;31;31;1;1000000000;0;3;0.355140187;0.056074766;0.593457944;0.878504673;0.004672897;0.070093458;0.602803738;0.434579439;0.235849057
0;4;40;307;3;1;0;19;2;0.004672897;0.014018692;0.177570093;0.878504673;0.009345794;0.070093458;0.397196262;0.313084112;0.235849057
1;10;45;20;105;2;0;5;2;0.046728972;0.004672897;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.313084112;0.080188679
1;20;60;7;20;0;7000000000;4;0;0.140186916;0.014018692;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.004716981
1;1;24;30;30;1;1000000000;3;2;0.140186916;0.056074766;0.177570093;0.878504673;0.004672897;0.018691589;0.602803738;0.252336449;0.226415094
0;3;40;0;0;2;10000000;217;30;0.004672897;0.205607477;0.196261682;0.878504673;0.214953271;0.018691589;0.397196262;0.252336449;0.377358491
0;3;40;0;2;1;0;6;5;0.355140187;0.08411215;0.177570093;0.878504673;0.009345794;0.004672897;0.397196262;0.313084112;0.377358491
1;3;40;1;1;5;1000000;15;2;0.355140187;0.088785047;0.177570093;0.878504673;0.023364486;0.037383178;0.602803738;0.313084112;0.377358491
0;34;9;10;15;2;100000000;0;2;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.056074766;0.397196262;0.434579439;0.377358491
1;11;45;13;13;3;600000000;25;12;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.359813084;0.602803738;0.434579439;0.377358491
0;4;40;8;8;1;0;60;1;0.355140187;0.056074766;0.177570093;0.878504673;0.214953271;0.359813084;0.397196262;0.252336449;0.226415094
0;16;30;5;30;1;120000000;0;2;0.004672897;0.088785047;0.593457944;0.878504673;0.009345794;0.359813084;0.397196262;0.434579439;0.377358491
1;5;50;10;200;20;0;30;4;0.056074766;0.205607477;0.593457944;0.018691589;0.004672897;0.359813084;0.602803738;0.434579439;0.004716981
1;4;40;15;15;7;1000000000;2;2;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.226415094
1;1;8;3;1;1;2000000;7;3;0.023364486;0.205607477;0.196261682;0.042056075;0.009345794;0.359813084;0.602803738;0.252336449;0.377358491
1;2;40;11;13;5;0;3;2;0.140186916;0.056074766;0.177570093;0.878504673;0.004672897;0.359813084;0.602803738;0.252336449;0.377358491
0;11;40;5;5;3;20000000;0;3;0.004672897;0.08411215;0.593457944;0.878504673;0.009345794;0.359813084;0.397196262;0.313084112;0.235849057
1;7;60;10;15;0.25;0;10;15;0.023364486;0.205607477;0.593457944;0.878504673;0.214953271;0.359813084;0.602803738;0.434579439;0.235849057
1;1;42;2000;2000;3;672000000;5;4;0.023364486;0.088785047;0.196261682;0.878504673;0.009345794;0.359813084;0.602803738;0.313084112;0.377358491
1;1;40;5;5;1;40000000;48;5;0.140186916;0.023364486;0.03271028;0.037383178;0.214953271;0.070093458;0.602803738;0.252336449;0.377358491
1;3;50;1;1;3;800000000;30;4;0.355140187;0.08411215;0.177570093;0.878504673;0.088785047;0.037383178;0.602803738;0.434579439;0.377358491
0;5;40;9;9;1;50000000;2;0;0.355140187;0.08411215;0.593457944;0.878504673;0.014018692;0.03271028;0.397196262;0.434579439;0.377358491
1;20;62;8;10;10;25000000000;15;5;0.355140187;0.074766355;0.593457944;0.878504673;0.009345794;0.004672897;0.602803738;0.434579439;0.226415094
0;6;40;15;20;2;160000000;7;0;0.004672897;0.088785047;0.593457944;0.042056075;0.004672897;0.004672897;0.397196262;0.434579439;0.080188679
1;5;50;0;2;3;0;10;4;0.056074766;0.08411215;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.252336449;0.004716981
0;8;40;15;20;5;50000000;10;4;0.140186916;0.023364486;0.593457944;0.878504673;0.023364486;0.03271028;0.397196262;0.434579439;0.377358491
0;1;40;7;15;2;5000000000;2;3;0.355140187;0.023364486;0.03271028;0.878504673;0.014018692;0.070093458;0.397196262;0.313084112;0.226415094
0;12;55;30;30;10;2,00E+11;0;5;0.056074766;0.205607477;0.593457944;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.235849057
1;20;45;10;30;2;100000000;10;2;0.140186916;0.004672897;0.593457944;0.878504673;0.088785047;0.042056075;0.602803738;0.434579439;0.226415094
0;13;40;10;10;3;0;4;3;0.004672897;0.074766355;0.593457944;0.878504673;0.004672897;0.037383178;0.397196262;0.313084112;0.235849057
0;1;45;1;30;2;30000000;10;3;0.355140187;0.08411215;0.196261682;0.878504673;0.023364486;0.056074766;0.397196262;0.252336449;0.377358491
1;26;60;50;50;5;0;40;4;0.004672897;0.056074766;0.593457944;0.878504673;0.214953271;0.004672897;0.602803738;0.434579439;0.377358491
1;5;38;5;15;1;0;15;0;0.140186916;0.004672897;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.313084112;0.080188679
1;1.5;40;500;500;1;0;1;3;0.355140187;0.08411215;0.196261682;0.037383178;0.009345794;0.359813084;0.602803738;0.252336449;0.377358491
1;5;78;20;20;3;20000000;0;2;0.056074766;0.046728972;0.593457944;0.878504673;0.004672897;0.03271028;0.602803738;0.313084112;0.235849057
0;1;40;20;50;2;350000000;3;3;0.355140187;0.023364486;0.196261682;0.878504673;0.009345794;0.004672897;0.397196262;0.252336449;0.226415094
1;0;40;0;4;0;1000000;0;3;0.355140187;0.205607477;0.196261682;0.878504673;0.214953271;0.042056075;0.602803738;0.313084112;0.226415094
0;1;40;5;20;1;100000000;0;0;0.355140187;0.205607477;0.196261682;0.878504673;0.214953271;0.359813084;0.397196262;0.313084112;0.377358491
1;4;40;12;17;3;30000000;14;2;0.355140187;0.205607477;0.177570093;0.878504673;0.214953271;0.056074766;0.602803738;0.313084112;0.377358491
1;14;40;10;10;1;100000000;0;3;0.004672897;0.004672897;0.593457944;0.878504673;0.028037383;0.359813084;0.602803738;0.434579439;0.235849057
1;3;40;6;6;2;700000000;10;2;0.355140187;0.205607477;0.177570093;0.878504673;0.018691589;0.042056075;0.602803738;0.313084112;0.226415094
1;5;60;20;20;0;50000000;3;3;0.004672897;0.014018692;0.177570093;0.878504673;0.214953271;0.03271028;0.602803738;0.434579439;0.226415094
0;1;40;0;0;0;0;0;0;0.355140187;0.014018692;0.196261682;0.878504673;0.214953271;0.042056075;0.397196262;0.252336449;0.377358491
0;1;40;300;700;4;0;10;4;0.009345794;0.088785047;0.177570093;0.878504673;0.009345794;0.359813084;0.397196262;0.252336449;0.235849057
1;1;40;10;10;1;200000000;15;3;0.355140187;0.205607477;0.196261682;0.878504673;0.214953271;0.018691589;0.602803738;0.313084112;0.377358491
0;1.5;40;12;6;3;24000000;5;3;0.004672897;0.004672897;0.03271028;0.878504673;0.009345794;0.018691589;0.397196262;0.252336449;0.235849057
1;10;40;0;0;1;0;10;1;0.004672897;0.004672897;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.434579439;0.235849057
0;5;40;10;24;2;0;?;2;0.009345794;0.014018692;0.177570093;0.878504673;0.014018692;0.070093458;0.397196262;0.252336449;0.235849057
1;1;40;0;6;0;3000000;84;0;0.355140187;0.205607477;0.196261682;0.878504673;0.214953271;0.037383178;0.602803738;0.313084112;0.377358491
1;24;40;18;18;1;150000000;5;2;0.004672897;0.004672897;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.434579439;0.004716981
0;25;50;12;12;2;250000000;0;5;0.023364486;0.08411215;0.593457944;0.878504673;0.214953271;0.359813084;0.397196262;0.434579439;0.004716981
1;4;40;4;4;5;20000000;40;5;0.140186916;0.004672897;0.177570093;0.878504673;0.214953271;0.004672897;0.602803738;0.252336449;0.235849057
1;25;40;5;7;1;2500000000;0;2;0.355140187;0.205607477;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.434579439;0.080188679
1;2;50;2;2;2;0;28;2;0.355140187;0.004672897;0.196261682;0.878504673;0.214953271;0.359813084;0.602803738;0.252336449;0.226415094
0;1;40;2;2;1;200000000;20;3;0.355140187;0.205607477;0.03271028;0.878504673;0.214953271;0.056074766;0.397196262;0.252336449;0.226415094
